FID,Shape *,FID_1,AREA,PERIMETER,GEO,SYMBOL,STRATIGRAP,STRAT_SYM,GENESE,GEN_SYM,PETROGRAPH,PET_SYM,BEMERKUNGE,SHAPE_Leng,SHAPE_Area,Strat,Strat2,hlnug
61,Polygon,9896,5512854.959,14763.32644,602,m,"Trias, Muschelkalk",m,marine Ablagerungen,m,"Kalkstein, Mergelstein, Dolomitstein, Tonstein","^k,^m,^d,^t", ,23690.89117,14169822.42,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
62,Polygon,9906,4186436.717,9316.488921,604,mm,"Trias, Mittlerer Muschelkalk",mm,marin - brackische Ablagerungen,m-br,"Mergelstein mit Gips, Anhydrit und Steinsalz, Dolomitstein, Kalkstein, Tonstein, Sandstein","^m,lag(^y,^ah,^na),^d,^k,^t,^s", ,14948.40061,10765239.73,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
63,Polygon,9911,10879508.54,16879.54257,94,//Lo,Weichsel-(WÅrm-)Kaltzeit,"qw,qW","Lî· (Ñolisch), Lî·lehm","Lo(a),Lol","Schluff; feinsandig, tonig, z.T. nach unten zunehmend kalkhaltig","U;fS,t,unz(k)","Lî·, Lî·lehm u.a. Lî·derivate, oft Åber Ñlteren Lîssen",27071.06099,27975429.25,Pleistocene,Pleistocene,Pleistocene
64,Polygon,9914,1726033.74,5200.910179,500,t,TertiÑr,t, , , , , ,8341.221153,4440693.253,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
65,Polygon,9932,6273546.006,20710.52033,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,33213.78419,16110625.8,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
66,Polygon,9935,468691.1562,2656.951168,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",4259.465583,1205540.666,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
67,Polygon,9942,1794990.153,5665.829717,506,tmi,"TertiÑr, MiozÑn, ungegliedert",tmi, , ,"Ton, Schluff, Sand, Kies, Braunkohle; Mergel, Kalk (Ries)", , ,9090.501278,4614713.531,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
68,Polygon,9945,3497006.334,10234.60493,612,sm,"Trias, Mittlerer Buntsandstein",sm,limnisch - fluviatile bis brackische Ablagerungen,"l-f,br","Sandstein, Siltstein, Tonstein","^s,^u,^t", ,16419.23826,8988103.679,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
69,Polygon,9954,35928773.85,53531.35284,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,85762.02221,92203306.88,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
70,Polygon,9956,19418057.89,30059.1708,612,sm,"Trias, Mittlerer Buntsandstein",sm,limnisch - fluviatile bis brackische Ablagerungen,"l-f,br","Sandstein, Siltstein, Tonstein","^s,^u,^t", ,48184.58006,49838306.36,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
71,Polygon,9960,452220.098,2442.245142,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",3916.485514,1162598.342,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
72,Polygon,9961,1454536.234,5037.369731,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,8076.691173,3738760.529,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
73,Polygon,9981,14153709.37,33377.09188,824,/+Sp,PrÑkambrium bis Karbon,pr-cd,vulkanogen,vu,"Spilit, Basalt, Diabas","+SP,+B,+D",Spiligruppe: Kambrium bis Dinant,53453.95026,36325333.79,Precambrian,Precambrian,Paleozoic igneous rocks
74,Polygon,9983,18684330.28,41109.26246,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,65860.60242,47952741.96,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
75,Polygon,9986,721805.5818,3254.246671,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,5216.372563,1855197.339,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
76,Polygon,9993,2452220.626,10036.51111,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,16081.88259,6299231.253,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
77,Polygon,9996,1727390.362,6000.336381,519,tol,"TertiÑr, OligozÑn ungegliedert",tol, , ,"Ton, Schluff, Sand, Kies; Brankohle", , ,9622.626644,4436992.4,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
78,Polygon,9998,5166452.869,11287.42443,612,sm,"Trias, Mittlerer Buntsandstein",sm,limnisch - fluviatile bis brackische Ablagerungen,"l-f,br","Sandstein, Siltstein, Tonstein","^s,^u,^t", ,18094.39585,13269622.4,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
79,Polygon,10017,2295795.915,5855.175939,519,tol,"TertiÑr, OligozÑn ungegliedert",tol, , ,"Ton, Schluff, Sand, Kies; Brankohle", , ,9387.69653,5896118.532,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
80,Polygon,10018,1244177.107,6050.977126,612,sm,"Trias, Mittlerer Buntsandstein",sm,limnisch - fluviatile bis brackische Ablagerungen,"l-f,br","Sandstein, Siltstein, Tonstein","^s,^u,^t", ,9701.378147,3195355.521,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
81,Polygon,10026,1152900.261,6292.419122,602,m,"Trias, Muschelkalk",m,marine Ablagerungen,m,"Kalkstein, Mergelstein, Dolomitstein, Tonstein","^k,^m,^d,^t", ,10088.26098,2960031.226,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
82,Polygon,10027,1881687.56,14639.99362,999, , , , , , , , ,23450.22953,4829708.967,nd,"Devonian, Middle","Devonian, Middle"
83,Polygon,10030,753341.1845,5149.052836,999, , , , , , , , ,8257.087304,1934063.693,nd,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
84,Polygon,10048,2065901.922,6179.526298,681,do,"Devon, Oberdevon",do,marine Ablagerungen,m,"Tonschiefer, Sandstein, Grauwacke, Quarzit, Kalkstein","^tsf,^s,^g,^q,^k",vgl.671,9897.77173,5301566.18,"Devonian, Upper","Devonian, Upper","Devonian, Upper"
85,Polygon,10049,513881.5972,2934.293997,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",4702.553266,1319210.049,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
86,Polygon,10051,3695821.645,13247.94297,685,dv,"Devon, Mitteldevon, Givet",dv,marine Ablagerungen,m,"Tonschiefer, Sandstein","^tsf,^s", ,21216.39514,9480824.549,"Devonian, Middle","Devonian, Middle","Devonian, Middle"
87,Polygon,10057,796888.6201,3785.777091,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,6064.230023,2045755.394,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
88,Polygon,10058,3211494.122,8842.625449,519,tol,"TertiÑr, OligozÑn ungegliedert",tol, , ,"Ton, Schluff, Sand, Kies; Brankohle", , ,14171.61795,8239659.232,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
89,Polygon,10059,4617142.012,11528.72781,502,tpl,"TertiÑr, PliozÑn",tpl,limnisch - fluviatile Ablagerungen,"l,f","vorw. Kies, Sand, Ton; untergeordnet Braunkohle","G,S,T;^brk", ,18473.91998,11844193.54,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
90,Polygon,10063,6580884.955,17329.10626,607,mu,"Trias, Unterer Muschelkalk",mu,marine Ablagerungen,m,"dÅnnbankiger Kalkstein, dolomitischer Sandstein, Tonstein, Mergelstein, Kalkmergelstein, Dolomitstein","^k(bfk),^s(d),^t,^m,^mk,^d", ,27752.81613,16877112.24,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
91,Polygon,10069,503513.7148,3545.284503,602,m,"Trias, Muschelkalk",m,marine Ablagerungen,m,"Kalkstein, Mergelstein, Dolomitstein, Tonstein","^k,^m,^d,^t", ,5683.261555,1292289.84,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
92,Polygon,10071,818438.5277,3281.910894,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",5257.832561,2100426.481,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
