OBJECTID *,Shape *,Bundesland-ID,Bundesland,Geo_ID,Kürzel,Formation,Petrographie,Subgruppe,Gruppe,Subserie,Serie,Subsystem,System,Shape_Length,Shape_Area
92,Polygon,1,Hessen,85,ms,"Metasedimente, ungegliedert","Metasedimente (vorw. Biotit-Plagioklas-Gneis, Hornblende-Gneis, Graphitschiefer, Quarzit, Marmor, Kalksilikatfels, Granatfels)", , , , , ,Ordoviz—Devon,261364.241,59894873.67
93,Polygon,1,Hessen,86,GKSO,Rotgneiskomplex des Odenwaldes und Spessarts (Odenwald: "Böllsteiner Gneise"; Spessart: Rotgneis-Komplex),Muskovit-Biotit-Gneis; Quarz-Oligoklas-/Andesin-Kalifeldspat-Biotit-Gneis, , , , , ,Unterdevon/Oberdevon,125153.3812,51507568.38
94,Polygon,1,Hessen,95,PzaPo,Plutonische Gesteine des Odenwaldes und Spessarts,"Granodiorit, z.T. migmatitisch", , , , , ,Oberdevon/Unterkarbon,208226.5066,84515792.18
95,Polygon,1,Hessen,100,cd1-3Ti,Tholeiitische Metavulkanite des Unterkarbon 1 - 3,Tholeiitischer Metabasalt, ,Tournaisium und Viseum, ,Unterkarbon, ,Karbon,1086398.434,197124813.8
96,Polygon,1,Hessen,103,cdG,Gießen-Grauwacke (jüngerer Teil),Grauwacken, ,Tournaisium und Viseum, ,Unterkarbon, ,Karbon,265015.7694,105928193.2
97,Polygon,2,andere,8,qpWifs,Dünen,Sand, , , ,Pleistozän, ,Quartär,6851.588137,677495.9597
98,Polygon,2,andere,12,tmiu-mV,Vulkanische Gesteine des Miozäns,"Basanit, Alkalibasalt, Tholeiitischer Basalt, Nephelinit", , , ,Miozän,Jungtertiär,Tertiär,70784.44072,6130055.227
99,Polygon,2,andere,15,tmiu-mBVK,Basaltische Vulkaniklastite des Miozäns  ("Tuff"),"Basaltische Lapilli- und Aschentuffe, Agglomerate und Tuffbrekzien", , , ,Miozän,Jungtertiär,Tertiär,19463.21679,917244.2833
100,Polygon,2,andere,16,tpl,"Pliozän, ungegliedert","Ton-Schluff, Sand-Kies, Braunkohle (z.B. Wetterauer Hauptbraunkohle)", , , ,Pliozän,Jungtertiär,Tertiär,8282.023778,893304.1553
101,Polygon,2,andere,17,tmi,"Miozän, ungegliedert","Ton-Schluff, Sand-Kies, Quarzit, Kalkstein, Tuffit, Braunkohle (z.B. Frielendorfer Flöze)", , , ,Miozän,Jungtertiär,Tertiär,3362.287365,97425.85488
